,GDP,TENYR
2018-10-01,20917.867,3.09
2018-10-02,20917.867,3.09
2018-10-03,20917.867,3.09
2018-10-04,20917.867,3.09
2018-10-05,20917.867,3.09
2018-10-06,20917.867,3.09
2018-10-07,20917.867,3.09
2018-10-08,20917.867,3.09
2018-10-09,20917.867,3.09
2018-10-10,20917.867,3.09
2018-10-11,20917.867,3.09
2018-10-12,20917.867,3.09
2018-10-13,20917.867,3.09
2018-10-14,20917.867,3.09
2018-10-15,20917.867,3.09
2018-10-16,20917.867,3.09
2018-10-17,20917.867,3.09
2018-10-18,20917.867,3.09
2018-10-19,20917.867,3.09
2018-10-20,20917.867,3.09
2018-10-21,20917.867,3.09
2018-10-22,20917.867,3.09
2018-10-23,20917.867,3.09
2018-10-24,20917.867,3.09
2018-10-25,20917.867,3.09
2018-10-26,20917.867,3.09
2018-10-27,20917.867,3.09
2018-10-28,20917.867,3.09
2018-10-29,20917.867,3.09
2018-10-30,20917.867,3.09
2018-10-31,20917.867,3.09
2018-11-01,20917.867,3.09
2018-11-02,20917.867,3.09
2018-11-03,20917.867,3.09
2018-11-04,20917.867,3.09
2018-11-05,20917.867,3.09
2018-11-06,20917.867,3.09
2018-11-07,20917.867,3.09
2018-11-08,20917.867,3.09
2018-11-09,20917.867,3.09
2018-11-10,20917.867,3.09
2018-11-11,20917.867,3.09
2018-11-12,20917.867,3.09
2018-11-13,20917.867,3.09
2018-11-14,20917.867,3.09
2018-11-15,20917.867,3.09
2018-11-16,20917.867,3.09
2018-11-17,20917.867,3.09
2018-11-18,20917.867,3.09
2018-11-19,20917.867,3.09
2018-11-20,20917.867,3.09
2018-11-21,20917.867,3.09
2018-11-22,20917.867,3.09
2018-11-23,20917.867,3.09
2018-11-24,20917.867,3.09
2018-11-25,20917.867,3.09
2018-11-26,20917.867,3.09
2018-11-27,20917.867,3.09
2018-11-28,20917.867,3.09
2018-11-29,20917.867,3.09
2018-11-30,20917.867,3.09
2018-12-01,20917.867,3.09
2018-12-02,20917.867,3.09
2018-12-03,20917.867,3.09
2018-12-04,20917.867,3.09
2018-12-05,20917.867,3.09
2018-12-06,20917.867,3.09
2018-12-07,20917.867,3.09
2018-12-08,20917.867,3.09
2018-12-09,20917.867,3.09
2018-12-10,20917.867,3.09
2018-12-11,20917.867,3.09
2018-12-12,20917.867,3.09
2018-12-13,20917.867,3.09
2018-12-14,20917.867,3.09
2018-12-15,20917.867,3.09
2018-12-16,20917.867,3.09
2018-12-17,20917.867,3.09
2018-12-18,20917.867,3.09
2018-12-19,20917.867,3.09
2018-12-20,20917.867,3.09
2018-12-21,20917.867,3.09
2018-12-22,20917.867,3.09
2018-12-23,20917.867,3.09
2018-12-24,20917.867,3.09
2018-12-25,20917.867,3.09
2018-12-26,20917.867,3.09
2018-12-27,20917.867,3.09
2018-12-28,20917.867,3.09
2018-12-29,20917.867,3.09
2018-12-30,20917.867,3.09
2018-12-31,20917.867,3.09
2019-01-01,21111.6,3.09
2019-01-02,21111.6,3.09
2019-01-03,21111.6,3.09
2019-01-04,21111.6,3.09
2019-01-05,21111.6,3.09
2019-01-06,21111.6,3.09
2019-01-07,21111.6,3.09
2019-01-08,21111.6,3.09
2019-01-09,21111.6,3.09
2019-01-10,21111.6,3.09
2019-01-11,21111.6,3.09
2019-01-12,21111.6,3.09
2019-01-13,21111.6,3.09
2019-01-14,21111.6,3.09
2019-01-15,21111.6,3.09
2019-01-16,21111.6,3.09
2019-01-17,21111.6,3.09
2019-01-18,21111.6,3.09
2019-01-19,21111.6,3.09
2019-01-20,21111.6,3.09
2019-01-21,21111.6,3.09
2019-01-22,21111.6,3.09
2019-01-23,21111.6,3.09
2019-01-24,21111.6,3.09
2019-01-25,21111.6,3.09
2019-01-26,21111.6,3.09
2019-01-27,21111.6,3.09
2019-01-28,21111.6,3.09
2019-01-29,21111.6,3.09
2019-01-30,21111.6,3.09
2019-01-31,21111.6,3.09
2019-02-01,21111.6,3.09
2019-02-02,21111.6,3.09
2019-02-03,21111.6,3.09
2019-02-04,21111.6,3.09
2019-02-05,21111.6,3.09
2019-02-06,21111.6,3.09
2019-02-07,21111.6,3.09
2019-02-08,21111.6,3.09
2019-02-09,21111.6,3.09
2019-02-10,21111.6,3.09
2019-02-11,21111.6,3.09
2019-02-12,21111.6,3.09
2019-02-13,21111.6,3.09
2019-02-14,21111.6,3.09
2019-02-15,21111.6,3.09
2019-02-16,21111.6,3.09
2019-02-17,21111.6,3.09
2019-02-18,21111.6,3.09
2019-02-19,21111.6,3.09
2019-02-20,21111.6,3.09
2019-02-21,21111.6,3.09
2019-02-22,21111.6,3.09
2019-02-23,21111.6,3.09
2019-02-24,21111.6,3.09
